codeMagasin;NomMagasinConcurrent;AdresseMagasinConcurrent;CodePostalMagasinConcurrent;VilleMagasinConcurrent;NomEnseigne;CodeProduit;TypeCommanditaire;OffreNiveau1;OffreNiveau2;OffreNiveau3;NumTarif;DateDébutTarif;DateFinTarif;DateRelevé;NotrePrix;PrixConcurrent
1070;GEANT CASINO(590);NULL;13170;les pennes mirabeau;Casino;604254;A;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;20/02/2015;20.57;12.06
1070;GEANT CASINO(590);NULL;13170;les pennes mirabeau;Casino;604408;Z;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;20/02/2015;39.88;81.48
1070;GEANT CASINO(590);NULL;13170;les pennes mirabeau;Casino;604254;Z;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;20/02/2015;4.36;73.4
1070;GEANT CASINO(590);NULL;13170;les pennes mirabeau;Casino;604408;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;20/02/2015;62.29;12.5
1105;PHONE HOUSE(591);CC FORUM DES HALLES;75001;PARIS;TPH;604408;2;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;2015-03-10 00:00:00.000;10/05/2007;2.06;10.1
1105;PHONE HOUSE(591);CC FORUM DES HALLES;75001;PARIS;TPH;604254;2;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;2015-03-10 00:00:00.000;10/05/2007;48.41;42.5
1105;PHONE HOUSE(591);CC FORUM DES HALLES;75001;PARIS;TPH;604408;2;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;2015-03-10 00:00:00.000;10/05/2007;67.71;93.82
1128;The Phone House BAB2(592);Rure Jean Léon Laporte;64600;anglet;TPH;604254;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;2015-03-10 00:00:00.000;10/05/2007;73.56;31.67
1128;The Phone House BAB2(592);Rure Jean Léon Laporte;64600;anglet;TPH;604408;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;2015-03-10 00:00:00.000;10/05/2007;12.02;66.53
1128;The Phone House BAB2(592);Rure Jean Léon Laporte;64600;anglet;TPH;604254;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;2015-03-10 00:00:00.000;10/05/2007;67.25;96.35
1128;The Phone House BAB2(592);Rure Jean Léon Laporte;64600;anglet;TPH;604408;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;2015-03-10 00:00:00.000;10/05/2007;32.81;17.17
1010;fnac(593);30 av d italie;75013;paris;Fnac;604254;2;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;46.12;43.95
1010;fnac(593);30 av d italie;75013;paris;Fnac;604408;2;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;82.08;24.54
1010;fnac(593);30 av d italie;75013;paris;Fnac;604254;2;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;11.91;79.08
1010;telphone store(594);30 av d italie;75013;paris;TelephoneStore;604254;2;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;19.24;33.25
1010;telphone store(594);30 av d italie;75013;paris;TelephoneStore;604408;2;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;43.43;57.27
1151;CLUB BOUYGUES(598);CC CARREFOUR;83190;OLLIOULES;Club Bouygues;604254;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;DAKAR;81.94;15.33
1151;CLUB BOUYGUES(598);CC CARREFOUR;83190;OLLIOULES;Club Bouygues;604408;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;69.85;72.33
1151;CLUB BOUYGUES(598);CC CARREFOUR;83190;OLLIOULES;Club Bouygues;604254;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;78.86;80.42
1151;CLUB BOUYGUES(598);CC CARREFOUR;83190;OLLIOULES;Club Bouygues;604408;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;55.01;27.77
1151;TEL AND COM(599);CC CARREFOUR;83190;ollioules;Tel & Com;604254;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;6.02;0
1151;TEL AND COM(599);CC CARREFOUR;83190;ollioules;Tel & Com;604408;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;52.48;21.97
1151;TEL AND COM(599);CC CARREFOUR;83190;ollioules;Tel & Com;604408;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;12.12;30.67
1151;CARREFOUR(600);CC CARREFOUR;83190;ollioules;Carrefour;604254;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;76.8;95.95
1151;CARREFOUR(600);CC CARREFOUR;83190;ollioules;Carrefour;604408;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;74.75;12.34
1151;CARREFOUR(600);CC CARREFOUR;83190;ollioules;Carrefour;604254;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;2007-05-BB;51.09;66.64
1151;CARREFOUR(600);CC CARREFOUR;83190;ollioules;Carrefour;604408;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;88.61;0
1736;-601;C C les 3 fontaines;95000;cergy;Auchan;604254;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;35.76;26.57
1736;-601;C C les 3 fontaines;95000;cergy;Auchan;604408;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;44.15;70.81
1736;-601;C C les 3 fontaines;95000;cergy;Auchan;604254;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;51.87;57.13
